variable name,variable description,data type,values,filename
CCID,Participant ID,string,CC110019 to CC821090,additional_export
priority,Into priority mode?,category,"[No, Yes]",additional_export
student_iv,Student interview,category,"[No, Yes]",additional_export
quitquestion,question that i/v into priority,numeric,0.0 to 615.0,additional_export
xBreak,,numeric,75.0 to 707.0,additional_export
sevens,Number of correct 7s,category,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 999.0]",additional_export
dob,Dob of subject,date,,additional_export
date_iv,Date of interview,date,,additional_export
age_iv,Age at home interview,numeric,18.0 to 102.0,additional_export
drug_use,DAST-20 drug use score,numeric,0.0 to 13.0,additional_export
drug_severity,DAST-20 drug severity score,category,"[Intermediate, Low, Substantial, nan]",additional_export
drug_intervention,DAST-20 drug intervention score,category,"[Brief Intervention, Intensive, Outpatient (Intensive), nan]",additional_export
smoker,Smoking summary,category,"[Current smoker, Never smoked, Non current, at least 100, Non current, less than 100, Occasional current, at least 100, Occasional current, less than 100, Past smoker, nan]",additional_export
alcohol,Alcohol summary,category,"[Drinks daily, Drinks once/twice weekly, Drinks one/three times monthly, Drinks three/four times weekly, Non drinker, Occasional drinker, Past drinker, nan]",additional_export
ten_mq_total,10MQ total score,numeric,0.0 to 34.0,additional_export
HADS_anxiety,HADS anxiety score,numeric,0.0 to 20.0,additional_export
HADS_depression,HADS depression score,numeric,0.0 to 17.0,additional_export
HADS_anx_category,HADS anxiety category,category,"[Mild, Moderate, Normal, Null, Severe]",additional_export
HADS_dep_category,HADS depression category,category,"[Mild, Moderate, Normal, Null, Severe]",additional_export
story_recognition,Story total score,numeric,0.0 to 10.0,additional_export
STW_total,Spot the word total,numeric,2.0 to 60.0,additional_export
qual,Highest qualification,category,"[A-level, Degree, GCSE/O-level, None, nan]",additional_export
attention_orientation,ACE-R attention orientation score,numeric,0.0 to 18.0,additional_export
memory,ACE-R memory score,numeric,0.0 to 26.0,additional_export
fluencies,ACE-R fluencies score,numeric,0.0 to 14.0,additional_export
language,ACE-R language score,numeric,0.0 to 26.0,additional_export
visuospatial,ACE-R visuospatial score,numeric,0.0 to 16.0,additional_export
