b_id_m_id,b_id,m_id
1_1,1,1
1_18,1,18
1_26,1,26
1_29,1,29
1_39,1,39
1_40,1,40
1_42,1,42
1_46,1,46
1_57,1,57
1_58,1,58
1_66,1,66
1_68,1,68
1_70,1,70
1_79,1,79
1_82,1,82
1_86,1,86
1_165,1,165
1_166,1,166
1_168,1,168
1_169,1,169
1_174,1,174
1_177,1,177
1_178,1,178
1_183,1,183
1_184,1,184
1_188,1,188
1_190,1,190
1_191,1,191
1_196,1,196
1_202,1,202
1_208,1,208
1_240,1,240
1_244,1,244
1_251,1,251
1_252,1,252
1_254,1,254
1_261,1,261
1_279,1,279
1_297,1,297
1_320,1,320
1_330,1,330
1_375,1,375
1_418,1,418
1_420,1,420
1_425,1,425
1_428,1,428
1_438,1,438
1_439,1,439
1_440,1,440
1_444,1,444
1_445,1,445
1_447,1,447
1_452,1,452
1_456,1,456
1_460,1,460
1_477,1,477
2_2,2,2
2_6,2,6
2_20,2,20
2_38,2,38
2_41,2,41
2_62,2,62
2_77,2,77
2_78,2,78
2_80,2,80
2_93,2,93
2_95,2,95
2_102,2,102
2_104,2,104
2_105,2,105
2_111,2,111
2_114,2,114
2_115,2,115
2_152,2,152
2_153,2,153
2_231,2,231
2_250,2,250
2_257,2,257
2_274,2,274
2_284,2,284
2_317,2,317
2_348,2,348
2_352,2,352
2_360,2,360
2_361,2,361
2_363,2,363
2_370,2,370
2_371,2,371
2_376,2,376
2_381,2,381
2_385,2,385
2_389,2,389
2_391,2,391
2_394,2,394
2_397,2,397
2_408,2,408
2_461,2,461
2_464,2,464
2_466,2,466
2_467,2,467
2_470,2,470
2_482,2,482
2_484,2,484
2_486,2,486
2_492,2,492
2_494,2,494
2_496,2,496
3_3,3,3
3_17,3,17
3_47,3,47
3_99,3,99
3_156,3,156
3_211,3,211
3_214,3,214
3_227,3,227
3_228,3,228
3_421,3,421
3_422,3,422
3_427,3,427
3_432,3,432
3_433,3,433
3_443,3,443
4_4,4,4
4_130,4,130
4_146,4,146
4_153,4,153
4_466,4,466
5_5,5,5
5_38,5,38
5_50,5,50
5_53,5,53
5_54,5,54
5_72,5,72
5_73,5,73
5_85,5,85
5_93,5,93
5_97,5,97
5_100,5,100
5_103,5,103
5_108,5,108
5_109,5,109
5_113,5,113
5_117,5,117
5_118,5,118
5_120,5,120
5_121,5,121
5_122,5,122
5_124,5,124
5_128,5,128
5_129,5,129
5_133,5,133
5_136,5,136
5_137,5,137
5_139,5,139
5_141,5,141
5_145,5,145
5_147,5,147
5_149,5,149
5_151,5,151
5_154,5,154
5_172,5,172
5_181,5,181
5_186,5,186
5_187,5,187
5_225,5,225
5_226,5,226
5_229,5,229
5_230,5,230
5_231,5,231
5_238,5,238
5_243,5,243
5_253,5,253
5_256,5,256
5_258,5,258
5_262,5,262
5_263,5,263
5_265,5,265
5_267,5,267
5_271,5,271
5_272,5,272
5_273,5,273
5_274,5,274
5_275,5,275
5_277,5,277
5_287,5,287
5_288,5,288
5_290,5,290
5_291,5,291
5_292,5,292
5_301,5,301
5_304,5,304
5_305,5,305
5_306,5,306
5_310,5,310
5_311,5,311
5_313,5,313
5_318,5,318
5_319,5,319
5_321,5,321
5_324,5,324
5_334,5,334
5_340,5,340
5_343,5,343
5_353,5,353
5_354,5,354
5_355,5,355
5_356,5,356
5_358,5,358
5_363,5,363
5_365,5,365
5_366,5,366
5_368,5,368
5_372,5,372
5_373,5,373
5_382,5,382
5_384,5,384
5_385,5,385
5_386,5,386
5_390,5,390
5_404,5,404
5_409,5,409
5_412,5,412
5_413,5,413
5_454,5,454
5_461,5,461
5_462,5,462
5_466,5,466
5_467,5,467
5_468,5,468
5_474,5,474
5_475,5,475
5_479,5,479
5_483,5,483
5_486,5,486
5_490,5,490
5_491,5,491
5_493,5,493
5_498,5,498
5_500,5,500
6_7,6,7
6_31,6,31
6_33,6,33
6_63,6,63
6_64,6,64
6_71,6,71
6_159,6,159
6_163,6,163
6_182,6,182
6_205,6,205
6_206,6,206
6_237,6,237
6_245,6,245
6_264,6,264
6_281,6,281
6_308,6,308
6_393,6,393
6_410,6,410
6_424,6,424
6_437,6,437
6_446,6,446
6_451,6,451
7_8,7,8
7_164,7,164
7_195,7,195
7_197,7,197
7_199,7,199
7_212,7,212
7_255,7,255
7_269,7,269
7_341,7,341
7_383,7,383
7_411,7,411
7_431,7,431
7_448,7,448
7_473,7,473
8_9,8,9
8_14,8,14
8_23,8,23
8_34,8,34
8_36,8,36
8_49,8,49
8_54,8,54
8_74,8,74
8_81,8,81
8_89,8,89
8_101,8,101
8_110,8,110
8_119,8,119
8_132,8,132
8_133,8,133
8_134,8,134
8_136,8,136
8_144,8,144
8_145,8,145
8_146,8,146
8_147,8,147
8_150,8,150
8_151,8,151
8_153,8,153
8_154,8,154
8_162,8,162
8_173,8,173
8_192,8,192
8_225,8,225
8_231,8,231
8_241,8,241
8_242,8,242
8_268,8,268
8_277,8,277
8_285,8,285
8_286,8,286
8_296,8,296
8_304,8,304
8_307,8,307
8_326,8,326
8_347,8,347
8_349,8,349
8_350,8,350
8_369,8,369
8_385,8,385
8_387,8,387
8_388,8,388
8_390,8,390
8_401,8,401
8_405,8,405
8_463,8,463
8_464,8,464
8_498,8,498
8_500,8,500
9_10,9,10
9_28,9,28
9_61,9,61
9_87,9,87
9_90,9,90
9_91,9,91
9_92,9,92
9_117,9,117
9_138,9,138
9_215,9,215
9_223,9,223
9_296,9,296
9_301,9,301
9_313,9,313
9_316,9,316
9_329,9,329
9_344,9,344
9_346,9,346
9_366,9,366
9_377,9,377
9_378,9,378
9_398,9,398
9_399,9,399
9_400,9,400
9_402,9,402
9_404,9,404
9_406,9,406
9_454,9,454
9_461,9,461
9_462,9,462
9_464,9,464
9_480,9,480
9_481,9,481
9_485,9,485
9_486,9,486
9_497,9,497
10_11,10,11
10_16,10,16
10_19,10,19
10_21,10,21
10_22,10,22
10_24,10,24
10_51,10,51
10_52,10,52
10_55,10,55
10_75,10,75
10_107,10,107
10_142,10,142
10_157,10,157
10_170,10,170
10_171,10,171
10_189,10,189
10_193,10,193
10_194,10,194
10_200,10,200
10_207,10,207
10_213,10,213
10_218,10,218
10_220,10,220
10_221,10,221
10_222,10,222
10_232,10,232
10_234,10,234
10_235,10,235
10_236,10,236
10_239,10,239
10_249,10,249
10_259,10,259
10_270,10,270
10_278,10,278
10_280,10,280
10_282,10,282
10_293,10,293
10_309,10,309
10_315,10,315
10_415,10,415
10_416,10,416
10_429,10,429
10_430,10,430
10_435,10,435
10_442,10,442
10_455,10,455
10_457,10,457
10_459,10,459
10_472,10,472
11_12,11,12
11_314,11,314
11_450,11,450
12_13,12,13
12_27,12,27
12_65,12,65
12_116,12,116
12_125,12,125
12_126,12,126
12_128,12,128
12_154,12,154
12_173,12,173
12_210,12,210
12_216,12,216
12_217,12,217
12_241,12,241
12_327,12,327
12_333,12,333
12_345,12,345
12_379,12,379
12_407,12,407
12_449,12,449
12_461,12,461
12_469,12,469
13_15,13,15
13_44,13,44
13_160,13,160
13_167,13,167
13_201,13,201
13_204,13,204
13_294,13,294
13_331,13,331
13_419,13,419
13_434,13,434
13_436,13,436
14_25,14,25
14_45,14,45
14_106,14,106
14_148,14,148
14_155,14,155
14_158,14,158
14_179,14,179
14_180,14,180
14_198,14,198
14_203,14,203
14_209,14,209
14_224,14,224
14_246,14,246
14_247,14,247
14_266,14,266
14_367,14,367
14_423,14,423
14_441,14,441
14_453,14,453
15_28,15,28
15_30,15,30
15_32,15,32
15_34,15,34
15_48,15,48
15_60,15,60
15_88,15,88
15_91,15,91
15_112,15,112
15_121,15,121
15_135,15,135
15_146,15,146
15_230,15,230
15_260,15,260
15_267,15,267
15_313,15,313
15_323,15,323
15_327,15,327
15_338,15,338
15_461,15,461
15_465,15,465
15_468,15,468
15_470,15,470
15_488,15,488
15_493,15,493
16_28,16,28
16_96,16,96
16_145,16,145
16_151,16,151
16_283,16,283
16_289,16,289
16_325,16,325
16_335,16,335
16_337,16,337
16_352,16,352
16_381,16,381
16_382,16,382
16_395,16,395
16_469,16,469
16_494,16,494
16_495,16,495
17_32,17,32
17_37,17,37
17_56,17,56
17_69,17,69
17_84,17,84
17_127,17,127
17_176,17,176
17_185,17,185
17_295,17,295
17_299,17,299
17_300,17,300
17_322,17,322
17_332,17,332
17_362,17,362
17_364,17,364
17_392,17,392
17_396,17,396
17_404,17,404
17_454,17,454
17_482,17,482
18_35,18,35
18_43,18,43
18_233,18,233
18_248,18,248
18_414,18,414
18_458,18,458
19_59,19,59
19_74,19,74
19_78,19,78
19_97,19,97
19_154,19,154
19_187,19,187
19_262,19,262
19_303,19,303
19_328,19,328
19_358,19,358
19_359,19,359
19_391,19,391
19_487,19,487
20_60,20,60
20_98,20,98
20_131,20,131
20_187,20,187
20_242,20,242
20_303,20,303
20_412,20,412
21_67,21,67
21_76,21,76
21_83,21,83
21_123,21,123
21_143,21,143
21_161,21,161
21_175,21,175
21_219,21,219
22_90,22,90
22_302,22,302
22_374,22,374
22_404,22,404
22_471,22,471
23_90,23,90
23_94,23,94
23_102,23,102
23_225,23,225
23_302,23,302
23_339,23,339
23_352,23,352
23_356,23,356
23_385,23,385
23_392,23,392
23_476,23,476
24_97,24,97
24_136,24,136
24_140,24,140
24_210,24,210
24_257,24,257
24_260,24,260
24_267,24,267
24_276,24,276
24_301,24,301
24_303,24,303
24_304,24,304
24_311,24,311
24_332,24,332
24_362,24,362
24_403,24,403
24_413,24,413
24_454,24,454
24_478,24,478
24_486,24,486
24_489,24,489
24_494,24,494
24_499,24,499
25_260,25,260
25_296,25,296
25_298,25,298
25_488,25,488
