a_id_m_id,a_id,m_id
1_2,1,2
2_5,2,5
3_6,3,6
4_9,4,9
5_10,5,10
6_13,6,13
7_14,7,14
8_20,8,20
9_27,9,27
10_28,10,28
11_32,11,32
12_37,12,37
13_38,13,38
14_41,14,41
15_49,15,49
16_53,16,53
17_59,17,59
18_60,18,60
19_62,19,62
20_69,20,69
21_72,21,72
22_73,22,73
23_77,23,77
24_78,24,78
25_81,25,81
26_84,26,84
27_87,27,87
28_89,28,89
29_90,29,90
30_91,30,91
31_92,31,92
32_93,32,93
33_94,33,94
34_95,34,95
35_97,35,97
36_98,36,98
37_100,37,100
38_102,38,102
39_111,39,111
40_113,40,113
41_114,41,114
42_115,42,115
43_117,43,117
44_118,44,118
45_120,45,120
46_121,46,121
47_122,47,122
48_125,48,125
49_126,49,126
50_128,50,128
51_130,51,130
52_131,52,131
53_134,53,134
54_136,54,136
55_137,55,137
56_140,56,140
57_144,57,144
58_145,58,145
59_146,59,146
60_147,60,147
61_150,61,150
62_151,62,151
63_152,63,152
64_154,64,154
65_162,65,162
66_185,66,185
67_187,67,187
68_192,68,192
69_210,69,210
70_215,70,215
71_216,71,216
72_223,72,223
73_225,73,225
74_226,74,226
75_229,75,229
76_230,76,230
77_231,77,231
78_238,78,238
79_241,79,241
80_242,80,242
81_243,81,243
82_253,82,253
83_257,83,257
84_258,84,258
85_260,85,260
86_262,86,262
87_263,87,263
88_265,88,265
89_267,89,267
90_268,90,268
91_271,91,271
92_273,92,273
93_274,93,274
94_275,94,275
95_283,95,283
96_284,96,284
97_289,97,289
98_291,98,291
99_298,99,298
100_299,100,299
101_301,101,301
102_302,102,302
103_303,103,303
104_304,104,304
105_305,105,305
106_306,106,306
107_307,107,307
108_311,108,311
109_316,109,316
110_317,110,317
111_319,111,319
112_321,112,321
113_322,113,322
114_325,114,325
115_326,115,326
116_327,116,327
117_329,117,329
118_332,118,332
119_334,119,334
120_335,120,335
121_336,121,336
122_337,122,337
123_338,123,338
124_343,124,343
125_344,125,344
126_345,126,345
127_346,127,346
128_347,128,347
129_348,129,348
130_349,130,349
131_350,131,350
132_352,132,352
133_354,133,354
134_355,134,355
135_356,135,356
136_357,136,357
137_358,137,358
138_359,138,359
139_360,139,360
140_361,140,361
141_362,141,362
142_363,142,363
143_365,143,365
144_366,144,366
145_369,145,369
146_370,146,370
147_371,147,371
148_372,148,372
149_373,149,373
150_374,150,374
151_376,151,376
152_377,152,377
153_378,153,378
154_379,154,379
155_380,155,380
156_381,156,381
157_382,157,382
158_384,158,384
159_386,159,386
160_387,160,387
161_388,161,388
162_391,162,391
163_392,163,392
164_394,164,394
165_395,165,395
166_396,166,396
167_397,167,397
168_402,168,402
169_403,169,403
170_406,170,406
171_408,171,408
172_413,172,413
173_461,173,461
174_462,174,462
175_463,175,463
176_468,176,468
177_469,177,469
178_471,178,471
179_474,179,474
180_475,180,475
181_478,181,478
182_479,182,479
183_481,183,481
184_482,184,482
185_484,185,484
186_485,186,485
187_486,187,486
188_487,188,487
189_488,189,488
190_489,190,489
191_492,191,492
192_494,192,494
193_495,193,495
194_496,194,496
195_497,195,497
196_500,196,500
