longitude,latitude,housing_median_age,test_empty,total_rooms,test_string,total_bedrooms,population,test_single,households,test_int,median_income,median_house_value
-119.9200191158698,35.727255172275704,29.0,,1366.0,Ivo,345.0,651.0,99.0,305.0,518.0,3.567381586305669,194471.0
-118.67857092703909,33.30070978612259,49.0,,674.0,CLx,224.0,515.0,99.0,198.0,618.0,3.702975097008305,253769.0
-118.261561763434,33.48565872679251,17.0,,4742.0,Dyh,951.0,2743.0,99.0,990.0,614.0,7.299437916656365,422414.0
-118.32100190274761,34.70861802238061,51.0,,890.0,nGy,272.0,903.0,99.0,214.0,427.0,2.3927324601678794,114832.0
-117.89392136879701,33.48134903683486,18.0,,3214.0,sZm,784.0,1596.0,99.0,778.0,538.0,3.3114744963686613,204400.0
-121.73967196358686,38.53968221833374,24.0,,1961.0,nIP,352.0,725.0,99.0,364.0,480.0,5.619858149389526,186251.0
-117.38511146381875,33.19564037452202,43.0,,2300.0,PyX,477.0,2053.0,99.0,493.0,594.0,3.3726622564818376,254526.0
-119.08685417513755,35.09747205823316,24.0,,1122.0,yQl,354.0,1484.0,99.0,283.0,520.0,2.2906629232150615,69049.0
-118.52580659382323,34.80688167740799,6.0,,1754.0,ErY,284.0,349.0,99.0,202.0,596.0,4.368575493656413,169210.0
-117.74105996287904,34.13463131631171,31.0,,4085.0,kgK,561.0,1484.0,99.0,514.0,410.0,7.156227969227124,239505.0
-121.29695835855475,39.05254077800891,29.0,,3235.0,aOp,496.0,1946.0,99.0,509.0,426.0,5.490878862810306,218864.0
-122.56395215129162,38.80290600133902,13.0,,1768.0,kAv,350.0,857.0,99.0,383.0,475.0,4.320882976686326,435866.0
-119.66361599361029,34.72810835925511,26.0,,1187.0,RHD,293.0,793.0,99.0,281.0,451.0,2.5386179864547933,219493.0
-119.4400282251764,34.99693719942797,19.0,,769.0,PyV,121.0,355.0,99.0,111.0,661.0,2.2529410240124466,62428.0
-119.4577884084583,35.048703755540146,31.0,,728.0,ikA,168.0,657.0,99.0,162.0,674.0,5.799747571812027,490478.0
-117.1041261460621,33.40603452778932,31.0,,2322.0,dRv,348.0,1261.0,99.0,389.0,419.0,3.7731549157178867,205850.0
-116.41122178522089,32.759601453716165,26.0,,1727.0,kVd,381.0,1779.0,99.0,358.0,540.0,3.6186749894850556,310323.0
-115.35892853424234,32.706247117754835,16.0,,2549.0,uGL,418.0,1799.0,99.0,421.0,538.0,4.396637962607894,202822.0
-116.28193039546137,32.835261276374055,30.0,,2283.0,DrJ,471.0,986.0,99.0,388.0,616.0,4.124609348731518,280815.0
-115.48955383477795,32.92271306952204,15.0,,3328.0,rrv,549.0,1890.0,99.0,541.0,403.0,5.288316567663963,189744.0
-121.65150434463476,37.097744337529704,33.0,,3418.0,PMC,590.0,1710.0,99.0,620.0,478.0,5.002216251984939,265523.0
-121.78344490648598,39.01566542900046,40.0,,5172.0,EhU,1020.0,4144.0,99.0,816.0,558.0,2.907896616233503,98436.0
-118.38375957906436,33.83285892803444,40.0,,3128.0,HYc,555.0,2997.0,99.0,516.0,702.0,4.360600823320797,312709.0
-120.93523822047482,40.49359848427635,33.0,,562.0,lWh,120.0,154.0,99.0,135.0,608.0,2.439162889177035,47287.0
-123.11289001417664,40.46591151175184,39.0,,1072.0,vDC,297.0,588.0,99.0,285.0,697.0,1.369524298024901,81352.0
-118.380882415585,33.808291704307244,29.0,,555.0,DTJ,130.0,282.0,99.0,107.0,444.0,2.292825849808773,123435.0
-119.8823108334199,34.568406659586074,29.0,,1477.0,box,298.0,1151.0,99.0,380.0,594.0,4.255020540697764,202557.0
-119.34256772603655,35.03859047807798,35.0,,1165.0,GjK,254.0,1238.0,99.0,287.0,425.0,6.603096764835197,181472.0
-121.64222967119966,37.65852944601926,41.0,,1654.0,ffN,382.0,883.0,99.0,397.0,498.0,3.151565133609486,145961.0
-118.9802196156151,33.92685701763558,31.0,,3558.0,mYi,857.0,1725.0,99.0,718.0,458.0,3.1112304787426335,375881.0
-120.12243479475158,34.957537990092064,49.0,,629.0,tZu,187.0,966.0,99.0,207.0,530.0,3.2649350292853314,169472.0
-122.71284080228351,40.441683008108384,40.0,,4366.0,OVk,824.0,3065.0,99.0,801.0,596.0,1.9550276302711271,76401.0
-117.07206723480891,33.56479424740857,23.0,,732.0,Xyr,139.0,249.0,99.0,100.0,523.0,4.595043610796048,148390.0
-121.15206520016794,37.11644513250036,31.0,,1153.0,fCn,345.0,951.0,99.0,296.0,582.0,3.063806905561227,343972.0
-118.9533546344287,34.906442296769434,43.0,,851.0,mVW,115.0,389.0,99.0,150.0,480.0,5.4149798929574064,304481.0
-121.17662711565303,35.77743852714057,34.0,,1952.0,VMK,291.0,897.0,99.0,283.0,492.0,6.111109582862347,446052.0
-119.99209445749494,37.114504949405266,15.0,,2570.0,RVZ,424.0,1107.0,99.0,400.0,681.0,5.562189912953452,105152.0
-116.67413173584532,33.17797674100841,24.0,,2545.0,hPX,652.0,2164.0,99.0,647.0,378.0,2.2219097615759376,83282.0
-121.16367726311965,39.74349961823545,23.0,,1424.0,vtG,242.0,547.0,99.0,226.0,478.0,2.192421411012851,44957.0
-119.63112806943741,33.972323316143616,46.0,,1287.0,ExN,327.0,927.0,99.0,360.0,791.0,4.251076564977645,203467.0
-124.05233305797933,42.994126724126176,44.0,,386.0,VVL,94.0,360.0,99.0,111.0,529.0,2.611890863593864,173363.0
-115.49961896368863,32.89599556821415,32.0,,2383.0,cHP,585.0,2807.0,99.0,569.0,558.0,1.5392734994829116,97386.0
