a_id,dur
1,2.0
2,4.0
3,0.0
4,1.0
5,3.0
6,0.0
7,2.0
8,4.0
9,3.0
10,1.0
11,4.0
12,0.0
13,2.0
14,1.0
15,3.0
16,2.0
17,0.0
18,1.0
19,3.0
20,4.0
21,2.0
22,0.0
23,4.0
24,3.0
25,1.0
26,4.0
27,3.0
28,2.0
29,1.0
30,0.0
31,0.0
32,2.0
33,1.0
34,4.0
35,3.0
36,0.0
37,4.0
38,1.0
39,2.0
40,3.0
41,2.0
42,4.0
43,1.0
44,0.0
45,3.0
46,0.0
47,2.0
48,1.0
49,4.0
50,3.0
51,4.0
52,3.0
53,0.0
54,2.0
55,1.0
56,2.0
57,0.0
58,1.0
59,4.0
60,3.0
61,0.0
62,4.0
63,3.0
64,2.0
65,1.0
66,4.0
67,0.0
68,1.0
69,3.0
70,2.0
71,3.0
72,0.0
73,1.0
74,4.0
75,2.0
76,2.0
77,0.0
78,4.0
79,1.0
80,3.0
81,4.0
82,0.0
83,1.0
84,3.0
85,2.0
86,0.0
87,4.0
88,1.0
89,2.0
90,3.0
91,2.0
92,0.0
93,4.0
94,1.0
95,3.0
96,0.0
97,4.0
98,3.0
99,2.0
100,1.0
101,4.0
102,2.0
103,3.0
104,0.0
105,1.0
106,3.0
107,1.0
108,2.0
109,4.0
110,0.0
111,2.0
112,0.0
113,4.0
114,1.0
115,3.0
116,4.0
117,2.0
118,0.0
119,1.0
120,3.0
121,0.0
122,4.0
123,2.0
124,3.0
125,1.0
126,1.0
127,2.0
128,3.0
129,4.0
130,0.0
131,2.0
132,0.0
133,4.0
134,3.0
135,1.0
136,0.0
137,3.0
138,4.0
139,1.0
140,2.0
141,0.0
142,4.0
143,2.0
144,3.0
145,1.0
146,0.0
147,2.0
148,4.0
149,3.0
150,1.0
151,2.0
152,3.0
153,4.0
154,1.0
155,0.0
156,1.0
157,4.0
158,2.0
159,0.0
160,3.0
161,1.0
162,4.0
163,0.0
164,2.0
165,3.0
166,4.0
167,0.0
168,1.0
169,3.0
170,2.0
171,4.0
172,2.0
173,0.0
174,1.0
175,3.0
176,1.0
