b_id_m_id,m_id,b_id
1,42,19
2,464,10
3,90,23
4,28,1
5,114,9
6,117,8
7,55,8
8,96,10
9,31,2
10,47,8
11,102,21
12,153,17
13,494,17
14,34,8
15,366,15
16,398,14
17,62,16
18,492,8
19,498,14
20,235,17
21,274,5
22,445,19
23,494,10
24,73,10
25,190,10
26,26,9
27,366,24
28,285,10
29,125,19
30,327,24
31,350,2
32,462,2
33,455,3
34,486,8
35,420,1
36,313,5
37,312,19
38,74,21
39,379,5
40,287,8
41,192,5
42,385,5
43,221,23
44,472,5
45,339,26
46,77,5
47,93,19
48,187,9
49,480,2
50,273,8
51,391,14
52,269,8
53,175,6
54,398,10
55,101,10
56,399,23
57,156,9
58,11,3
59,269,17
60,397,5
61,53,14
62,307,1
63,86,23
64,180,5
65,470,8
66,413,5
67,428,10
68,287,3
69,399,8
70,27,5
71,63,8
72,398,3
73,113,5
74,407,1
75,208,5
76,199,12
77,251,2
78,260,8
79,224,12
80,11,8
81,466,17
82,402,3
83,493,1
84,182,25
85,385,5
86,287,8
87,401,5
88,309,8
89,154,10
90,391,9
91,19,7
92,229,13
93,352,1
94,124,24
95,18,5
96,378,10
97,242,8
98,128,8
99,48,10
100,385,17
101,404,5
102,222,13
103,146,17
104,54,5
105,147,18
106,311,10
107,153,32
108,404,1
109,145,9
110,441,8
111,354,8
112,306,15
113,24,21
114,32,16
115,158,17
116,176,9
117,310,21
118,356,10
119,202,19
120,302,3
121,470,1
122,348,14
123,117,5
124,284,8
125,357,1
126,402,10
127,289,17
128,91,5
129,4,10
130,52,18
131,286,1
132,451,6
133,253,15
134,486,5
135,128,10
136,138,12
137,251,5
138,321,13
139,372,9
140,269,5
141,392,1
142,305,22
143,469,15
144,301,5
145,118,8
146,128,10
147,397,5
148,466,2
149,3,10
150,101,1
151,327,15
152,235,17
153,285,1
154,174,24
155,173,24
156,381,22
157,346,14
158,74,7
159,281,10
160,173,1
161,395,30
162,137,5
163,198,10
164,8,5
165,141,18
166,168,4
167,53,12
168,372,8
169,292,1
170,189,1
171,146,5
172,396,9
173,136,5
174,107,8
175,153,24
176,266,17
177,315,5
178,448,2
179,372,24
180,143,7
181,327,10
182,27,4
183,448,1
184,170,5
