in_id_m_id,in_id,m_id
1,4101,487
2,2667,455
3,628,395
4,2482,45
5,2875,26
6,4673,249
7,4944,97
8,938,446
9,1466,89
10,1939,124
11,3622,105
12,2976,404
13,2799,285
14,4194,173
15,1855,145
16,684,239
17,3738,391
18,542,18
19,5092,154
20,949,413
21,3052,113
22,1080,372
23,3478,1
24,5039,416
25,553,154
26,3383,352
27,5050,435
28,4198,336
29,1143,461
30,3371,361
31,1678,336
32,1371,486
33,3253,113
34,3806,327
35,4073,332
36,3223,295
37,881,115
38,3461,499
39,96,125
40,4187,358
41,4553,198
42,3357,486
43,2301,404
44,3075,494
45,4006,90
46,2490,472
47,5380,136
48,2212,465
49,12,55
50,4190,473
51,1835,462
52,1532,482
53,2308,390
54,2767,241
55,1161,153
56,1456,32
57,4283,55
58,1743,20
59,4975,93
60,2199,486
61,4700,45
62,547,115
63,4365,191
64,4516,27
65,271,364
66,2199,321
67,4229,42
68,5190,85
69,1343,494
70,5020,444
71,1386,393
72,1885,461
73,1623,137
74,1271,133
75,4171,448
76,2678,260
77,1980,72
78,3076,356
79,1170,210
80,3183,461
81,4059,320
82,5495,250
83,5209,291
84,504,364
85,3273,215
86,2544,60
87,3359,52
88,51,332
89,2987,109
90,1381,233
91,955,216
92,1263,207
93,4458,469
94,1524,274
95,5102,328
96,1481,101
97,485,77
98,5498,224
99,4974,364
100,2615,14
101,2954,262
102,3148,460
103,1331,378
104,1819,262
105,2848,97
106,1236,397
107,242,192
108,588,250
109,147,456
110,2134,215
111,4363,232
112,1971,154
113,2442,241
114,5266,283
115,5024,369
116,4581,30
117,1836,433
118,3869,136
119,4236,448
120,4396,325
121,1119,466
122,2010,72
123,2171,128
124,3630,441
125,3962,214
126,3146,159
127,2159,43
128,5656,112
129,2280,461
130,3821,190
131,833,390
132,257,182
133,1041,249
134,2685,131
135,4510,99
136,1099,223
137,4083,151
138,2464,179
139,3082,46
140,2386,97
141,5601,152
142,3763,151
143,4805,137
144,664,225
145,1699,303
146,2353,405
147,854,269
148,5374,149
149,803,207
150,1612,405
151,2631,366
152,3746,295
153,148,404
154,3154,347
155,2297,420
156,2552,436
157,2646,249
158,4995,328
159,285,360
160,3965,90
161,1861,420
162,4319,298
163,744,117
164,955,400
165,184,8
166,4181,227
167,4203,58
168,4116,151
169,2969,134
170,4579,358
171,4614,340
172,5098,483
173,2454,296
174,2555,28
175,4206,301
176,3071,311
177,3876,209
178,3029,383
179,5493,494
180,1221,149
181,4632,101
182,1828,48
183,3744,248
184,169,8
185,3004,153
186,4436,83
187,362,153
188,3652,206
189,4259,404
190,2343,123
191,4979,102
192,1615,279
193,4897,385
194,114,490
195,379,435
196,943,31
197,2609,396
198,1092,486
199,2892,274
200,4903,463
201,3731,94
202,1882,376
203,3655,102
204,5269,241
205,145,59
206,5236,134
207,2809,406
208,5028,404
209,1404,225
210,2489,356
211,2726,486
212,1738,14
213,1835,179
214,503,358
215,1338,446
216,2297,221
217,3230,413
218,4597,174
219,1490,493
220,1951,181
221,2081,372
222,5440,469
223,2986,174
224,5066,265
225,3732,366
226,3780,198
227,3636,131
228,26,277
229,3181,250
230,4670,486
231,4297,135
232,1430,260
233,1779,301
234,2701,462
235,2199,305
236,2772,207
237,1556,376
238,1292,116
239,4824,27
240,2769,153
241,4381,45
242,5059,206
243,4758,19
244,5482,150
245,1395,76
246,951,187
247,766,422
248,3566,121
249,3356,3
250,5655,404
251,3933,284
252,1153,119
253,2885,208
254,3192,384
