a_id_m_id,a_id,m_id
1,34,327
2,106,392
3,195,226
4,102,406
5,37,59
6,14,403
7,179,49
8,158,299
9,97,271
10,151,321
11,52,231
12,12,187
13,61,283
14,10,238
15,162,215
16,68,128
17,146,2
18,76,463
19,154,379
20,9,382
21,147,478
22,184,377
23,66,344
24,41,210
25,6,378
26,30,100
27,119,489
28,151,242
29,47,379
30,167,495
31,166,377
32,17,479
33,179,231
34,172,145
35,48,485
36,74,152
37,144,345
38,142,91
39,192,479
40,34,225
41,130,372
42,66,27
43,185,258
44,117,384
45,101,128
46,143,265
47,69,461
48,150,363
49,31,373
50,171,115
51,143,397
52,192,403
53,165,392
54,90,89
55,54,388
56,131,274
57,98,384
58,106,265
59,78,291
60,95,361
61,154,13
62,101,325
63,130,273
64,69,28
65,174,311
66,156,358
67,133,343
68,194,150
69,127,337
70,119,238
71,51,145
72,72,59
73,48,406
74,189,396
75,169,225
76,189,403
77,109,380
78,107,311
79,164,397
80,75,241
81,72,97
82,45,305
83,42,302
84,79,9
85,99,92
86,133,485
87,14,302
88,71,305
89,175,5
90,10,111
91,95,363
92,50,137
93,66,361
94,34,253
95,115,229
96,117,363
97,116,382
98,37,396
99,162,111
100,67,59
101,10,348
102,140,69
103,135,230
104,169,343
105,74,481
106,68,334
107,47,298
108,32,152
109,93,97
110,22,365
111,167,122
112,9,283
113,44,304
114,17,216
115,166,361
116,163,363
117,54,78
118,122,152
119,118,147
120,74,408
121,54,62
122,3,73
123,186,481
124,27,344
125,1,408
126,184,387
127,157,91
128,73,271
129,10,92
130,163,28
131,168,120
132,80,365
133,118,363
134,74,355
135,184,361
136,64,335
137,166,268
138,16,89
139,104,126
140,20,9
141,3,93
142,116,349
143,110,111
144,84,231
145,48,462
146,9,406
147,177,210
148,108,336
149,15,462
150,164,352
151,90,481
152,114,265
153,106,258
154,123,37
155,18,497
156,129,482
157,48,257
158,142,358
159,116,28
160,48,461
161,20,78
162,132,145
163,114,274
164,179,299
165,9,382
166,136,263
167,34,72
168,124,408
169,89,185
170,69,496
171,14,376
172,109,72
173,49,391
174,39,147
175,80,373
176,44,461
